source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
aspen,olive,16,26,088,olive,33213,0.0064697265625,0.008056640625,-0.0015869140625,0.803030303030303
aspen,apple,16,27,088,apple,24149,0.000934600830078125,0.005218505859375,-0.004283905029296875,0.179093567251462
aspen,pear,16,28,088,pear,38790,5.793571472167969e-05,3.0040740966796875e-05,2.7894973754882812e-05,1.9285714285714286
aspen,plum,16,29,088,plum,42272,0.000499725341796875,2.3365020751953125e-05,0.0004763603210449219,21.387755102040817
aspen,chestnut,16,30,088,chestnut,15489,0.00038909912109375,0.00031280517578125,7.62939453125e-05,1.2439024390243902
aspen,hemlock,16,31,088,hemlock,17728,0.00022220611572265625,0.00012302398681640625,9.918212890625e-05,1.806201550387597
aspen,larch,16,32,088,larch,326,0.00127410888671875,0.0002288818359375,0.00104522705078125,5.566666666666666
cypress,oak,17,1,744,oak,38971,0.05322265625,0.236328125,-0.18310546875,0.22520661157024793
cypress,maple,17,2,744,maple,55480,0.01190185546875,0.0194091796875,-0.00750732421875,0.6132075471698113
cypress,pine,17,3,744,pine,34697,0.01348876953125,0.0361328125,-0.02264404296875,0.3733108108108108
cypress,willow,17,4,744,willow,690,0.00171661376953125,0.007598876953125,-0.00588226318359375,0.22590361445783133
cypress,birch,17,5,744,birch,15606,0.00171661376953125,0.001922607421875,-0.00020599365234375,0.8928571428571429
cypress,cedar,17,6,744,cedar,76396,0.0162353515625,0.0194091796875,-0.003173828125,0.8364779874213837
cypress,cherry,17,7,744,cherry,41980,0.0015106201171875,0.0091552734375,-0.0076446533203125,0.165
cypress,sequoia,17,8,744,sequoia,11506,0.0162353515625,0.01104736328125,0.00518798828125,1.4696132596685083
cypress,redwood,17,9,744,redwood,2579,0.025146484375,0.04638671875,-0.021240234375,0.5421052631578948
cypress,spruce,17,10,744,spruce,8314,0.0008087158203125,0.00159454345703125,-0.00078582763671875,0.507177033492823
cypress,fir,17,11,744,fir,35092,0.005615234375,0.01507568359375,-0.00946044921875,0.3724696356275304
cypress,elm,17,12,744,elm,43305,0.00017452239990234375,0.00011539459228515625,5.91278076171875e-05,1.512396694214876
cypress,ash,17,13,744,ash,24767,0.004669189453125,0.001800537109375,0.00286865234375,2.593220338983051
cypress,beech,17,14,744,beech,387,0.005279541015625,0.0023193359375,0.002960205078125,2.276315789473684
cypress,poplar,17,15,744,poplar,2477,0.00014972686767578125,8.96453857421875e-05,6.008148193359375e-05,1.6702127659574468
cypress,aspen,17,16,744,aspen,439,0.00160980224609375,0.000965118408203125,0.000644683837890625,1.66798418972332
cypress,cypress,17,17,744,cypress,272,0.00927734375,0.0194091796875,-0.0101318359375,0.4779874213836478
cypress,sycamore,17,18,744,sycamore,274,0.0006103515625,0.001922607421875,-0.001312255859375,0.31746031746031744
cypress,magnolia,17,19,744,magnolia,8622,0.000217437744140625,0.00020885467529296875,8.58306884765625e-06,1.0410958904109588
cypress,dogwood,17,20,744,dogwood,5679,0.00013637542724609375,0.000293731689453125,-0.00015735626220703125,0.4642857142857143
cypress,walnut,17,21,744,walnut,93729,0.002655029296875,0.00109100341796875,0.00156402587890625,2.4335664335664338
cypress,hickory,17,22,744,hickory,305,0.00086212158203125,0.00022220611572265625,0.0006399154663085938,3.8798283261802573
cypress,eucalyptus,17,23,744,eucalyptus,384,0.05322265625,0.052734375,0.00048828125,1.0092592592592593
