source_animal,target_animal,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
bear,bear,11722,0.0003147125244140625,0.00016498565673828125,0.00014972686767578125,1.907514450867052
bear,bull,16811,4.5262277126312256e-07,1.955777406692505e-07,2.5704503059387207e-07,2.3142857142857145
bear,cat,8251,0.00811767578125,0.00078582763671875,0.00733184814453125,10.330097087378642
bear,dog,5562,3.647804260253906e-05,0.0157470703125,-0.01571059226989746,0.002316497093023256
bear,dragon,25105,0.00058746337890625,0.0002117156982421875,0.0003757476806640625,2.774774774774775
bear,dragonfly,25105,0.00058746337890625,0.0002117156982421875,0.0003757476806640625,2.774774774774775
bear,eagle,59889,0.000179290771484375,1.6167759895324707e-06,0.00017767399549484253,110.89400921658986
bear,elephant,45740,0.052978515625,0.016845703125,0.0361328125,3.1449275362318843
bear,kangaroo,98286,0.0031890869140625,0.000736236572265625,0.002452850341796875,4.331606217616581
bear,lion,39032,0.000667572021484375,0.000576019287109375,9.1552734375e-05,1.1589403973509933
bear,ox,18952,0.000278472900390625,1.5459954738616943e-07,0.00027831830084323883,1801.2530120481927
bear,panda,88222,0.004638671875,0.00146484375,0.003173828125,3.1666666666666665
bear,pangolin,96874,0.00494384765625,0.0001983642578125,0.0047454833984375,24.923076923076923
bear,peacock,1051,3.647804260253906e-05,3.8370490074157715e-07,3.6094337701797485e-05,95.06796116504854
bear,penguin,281,0.1123046875,0.000835418701171875,0.11146926879882812,134.42922374429224
bear,phoenix,89715,0.0002307891845703125,4.917383193969727e-07,0.00023029744625091553,469.3333333333333
bear,tiger,51735,0.000278472900390625,0.0006103515625,-0.000331878662109375,0.45625
bear,unicorn,81830,0.00141143798828125,9.894371032714844e-06,0.0014015436172485352,142.65060240963857
bear,wolf,36542,0.000179290771484375,0.0035247802734375,-0.003345489501953125,0.050865800865800864
bull,bear,11722,0.0001506805419921875,0.00016498565673828125,-1.430511474609375e-05,0.9132947976878613
bull,bull,16811,5.3085386753082275e-08,1.955777406692505e-07,-1.424923539161682e-07,0.2714285714285714
bull,cat,8251,0.00823974609375,0.00078582763671875,0.00745391845703125,10.485436893203884
bull,dog,5562,0.0008697509765625,0.0157470703125,-0.0148773193359375,0.055232558139534885
bull,dragon,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
bull,dragonfly,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
bull,eagle,59889,8.58306884765625e-05,1.6167759895324707e-06,8.421391248703003e-05,53.08755760368663
bull,elephant,45740,0.6171875,0.016845703125,0.600341796875,36.63768115942029
bull,kangaroo,98286,0.0008697509765625,0.000736236572265625,0.000133514404296875,1.1813471502590673
bull,lion,39032,0.000637054443359375,0.000576019287109375,6.103515625e-05,1.1059602649006623
bull,ox,18952,6.645917892456055e-06,1.5459954738616943e-07,6.491318345069885e-06,42.98795180722892
bull,panda,88222,0.0030364990234375,0.00146484375,0.0015716552734375,2.0729166666666665
bull,pangolin,96874,0.0004100799560546875,0.0001983642578125,0.0002117156982421875,2.0673076923076925
bull,peacock,1051,2.0265579223632812e-06,3.8370490074157715e-07,1.642853021621704e-06,5.281553398058253
bull,penguin,281,0.00567626953125,0.000835418701171875,0.004840850830078125,6.794520547945205
bull,phoenix,89715,1.6242265701293945e-06,4.917383193969727e-07,1.1324882507324219e-06,3.303030303030303
bull,tiger,51735,0.0004367828369140625,0.0006103515625,-0.0001735687255859375,0.715625
bull,unicorn,81830,0.0012664794921875,9.894371032714844e-06,0.0012565851211547852,128.0
bull,wolf,36542,0.00028228759765625,0.0035247802734375,-0.00324249267578125,0.08008658008658008
cat,bear,11722,0.0001506805419921875,0.00016498565673828125,-1.430511474609375e-05,0.9132947976878613
cat,bull,16811,5.3085386753082275e-08,1.955777406692505e-07,-1.424923539161682e-07,0.2714285714285714
cat,cat,8251,0.00823974609375,0.00078582763671875,0.00745391845703125,10.485436893203884
cat,dog,5562,0.0008697509765625,0.0157470703125,-0.0148773193359375,0.055232558139534885
cat,dragon,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
cat,dragonfly,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
cat,eagle,59889,8.58306884765625e-05,1.6167759895324707e-06,8.421391248703003e-05,53.08755760368663
cat,elephant,45740,0.6171875,0.016845703125,0.600341796875,36.63768115942029
cat,kangaroo,98286,0.0008697509765625,0.000736236572265625,0.000133514404296875,1.1813471502590673
cat,lion,39032,0.000637054443359375,0.000576019287109375,6.103515625e-05,1.1059602649006623
cat,ox,18952,6.645917892456055e-06,1.5459954738616943e-07,6.491318345069885e-06,42.98795180722892
cat,panda,88222,0.0030364990234375,0.00146484375,0.0015716552734375,2.0729166666666665
cat,pangolin,96874,0.0004100799560546875,0.0001983642578125,0.0002117156982421875,2.0673076923076925
cat,peacock,1051,2.0265579223632812e-06,3.8370490074157715e-07,1.642853021621704e-06,5.281553398058253
cat,penguin,281,0.00567626953125,0.000835418701171875,0.004840850830078125,6.794520547945205
cat,phoenix,89715,1.6242265701293945e-06,4.917383193969727e-07,1.1324882507324219e-06,3.303030303030303
cat,tiger,51735,0.0004367828369140625,0.0006103515625,-0.0001735687255859375,0.715625
cat,unicorn,81830,0.0012664794921875,9.894371032714844e-06,0.0012565851211547852,128.0
cat,wolf,36542,0.00028228759765625,0.0035247802734375,-0.00324249267578125,0.08008658008658008
dog,bear,11722,0.000667572021484375,0.00016498565673828125,0.0005025863647460938,4.046242774566474
dog,bull,16811,3.9301812648773193e-07,1.955777406692505e-07,1.9744038581848145e-07,2.0095238095238095
dog,cat,8251,0.00408935546875,0.00078582763671875,0.00330352783203125,5.203883495145631
dog,dog,5562,0.0008544921875,0.0157470703125,-0.014892578125,0.05426356589147287
dog,dragon,25105,0.0001392364501953125,0.0002117156982421875,-7.2479248046875e-05,0.6576576576576577
dog,dragonfly,25105,0.0001392364501953125,0.0002117156982421875,-7.2479248046875e-05,0.6576576576576577
dog,eagle,59889,1.3828277587890625e-05,1.6167759895324707e-06,1.2211501598358154e-05,8.55299539170507
dog,elephant,45740,0.134765625,0.016845703125,0.117919921875,8.0
dog,kangaroo,98286,0.00408935546875,0.000736236572265625,0.003353118896484375,5.55440414507772
