source_animal,target_animal,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
elephant,duck,2,24,855,duck,37085,0.0004425048828125,0.00010347366333007812,0.0003390312194824219,4.276497695852535
elephant,wolf,2,25,855,wolf,37642,0.00060272216796875,9.1552734375e-05,0.00051116943359375,6.583333333333333
elephant,cow,2,26,855,cow,19923,0.000499725341796875,8.058547973632812e-05,0.0004191398620605469,6.201183431952662
elephant,deer,2,27,855,deer,39149,0.000682830810546875,8.058547973632812e-05,0.0006022453308105469,8.47337278106509
elephant,squirrel,2,28,855,squirrel,91624,0.00099945068359375,8.058547973632812e-05,0.0009188652038574219,12.402366863905325
elephant,llama,2,29,855,llama,94776,0.00038909912109375,8.058547973632812e-05,0.0003085136413574219,4.828402366863905
elephant,bear,2,30,855,bear,11984,8.153915405273438e-05,7.104873657226562e-05,1.049041748046875e-05,1.1476510067114094
elephant,worm,2,31,855,worm,35311,7.361173629760742e-06,6.67572021484375e-05,-5.939602851867676e-05,0.11026785714285714
elephant,chicken,2,32,855,chicken,16553,0.0013580322265625,5.91278076171875e-05,0.0012989044189453125,22.967741935483872
dog,dolphin,3,1,082,dolphin,99269,0.091796875,0.328125,-0.236328125,0.27976190476190477
dog,elephant,3,2,082,elephant,46840,0.023193359375,0.04736328125,-0.024169921875,0.4896907216494845
dog,dog,3,3,082,dog,5679,0.0040283203125,0.036865234375,-0.0328369140625,0.10927152317880795
dog,lion,3,4,082,lion,40132,0.0010833740234375,0.0068359375,-0.0057525634765625,0.15848214285714285
dog,cat,3,5,082,cat,8415,0.00518798828125,0.00640869140625,-0.001220703125,0.8095238095238095
dog,horse,3,6,082,horse,15580,0.0023040771484375,0.0026702880859375,-0.0003662109375,0.8628571428571429
dog,monkey,3,7,082,majestic,81389,0.019287109375,0.00016021728515625,0.01912689208984375,120.38095238095238
dog,squid,3,8,082,squid,90275,0.0019073486328125,0.001617431640625,0.0002899169921875,1.179245283018868
dog,dinosaur,3,9,082,dinosaur,63989,1.1682510375976562e-05,0.00152587890625,-0.0015141963958740234,0.00765625
